2024-06-19 00:50:52, CPU: 100.0%, Memória: 51.0%, Disco I/O: 0
2024-06-19 00:51:06, CPU: 100.0%, Memória: 50.3%, Disco I/O: 0
2024-06-19 00:51:20, CPU: 100.0%, Memória: 50.3%, Disco I/O: 0
2024-06-19 00:51:33, CPU: 100.0%, Memória: 50.4%, Disco I/O: 0
2024-06-19 00:51:47, CPU: 100.0%, Memória: 50.4%, Disco I/O: 0
2024-06-19 00:52:00, CPU: 100.0%, Memória: 47.8%, Disco I/O: 0
2024-06-19 00:52:12, CPU: 100.0%, Memória: 47.8%, Disco I/O: 0
2024-06-19 00:52:25, CPU: 100.0%, Memória: 47.5%, Disco I/O: 0
2024-06-19 00:52:37, CPU: 100.0%, Memória: 47.5%, Disco I/O: 0
2024-06-19 00:52:50, CPU: 100.0%, Memória: 47.5%, Disco I/O: 0
2024-06-19 00:53:02, CPU: 100.0%, Memória: 47.6%, Disco I/O: 0
2024-06-19 00:53:15, CPU: 100.0%, Memória: 47.6%, Disco I/O: 0
2024-06-19 00:53:27, CPU: 100.0%, Memória: 47.6%, Disco I/O: 0
2024-06-19 00:53:39, CPU: 100.0%, Memória: 47.6%, Disco I/O: 0
2024-06-19 00:53:52, CPU: 100.0%, Memória: 47.6%, Disco I/O: 0
2024-06-19 00:54:04, CPU: 100.0%, Memória: 47.6%, Disco I/O: 0
2024-06-19 00:54:17, CPU: 100.0%, Memória: 47.6%, Disco I/O: 0
2024-06-19 00:54:29, CPU: 100.0%, Memória: 47.7%, Disco I/O: 0
2024-06-19 00:54:42, CPU: 100.0%, Memória: 47.5%, Disco I/O: 0
2024-06-19 00:54:54, CPU: 100.0%, Memória: 47.5%, Disco I/O: 0
2024-06-19 00:55:07, CPU: 100.0%, Memória: 47.5%, Disco I/O: 0
2024-06-19 00:55:19, CPU: 100.0%, Memória: 47.5%, Disco I/O: 0
2024-06-19 00:55:31, CPU: 100.0%, Memória: 47.5%, Disco I/O: 0
2024-06-19 00:55:44, CPU: 100.0%, Memória: 47.5%, Disco I/O: 0
2024-06-19 00:55:56, CPU: 100.0%, Memória: 47.5%, Disco I/O: 0
2024-06-19 00:56:09, CPU: 100.0%, Memória: 47.6%, Disco I/O: 0
2024-06-19 00:56:21, CPU: 100.0%, Memória: 47.6%, Disco I/O: 0
2024-06-19 00:56:34, CPU: 100.0%, Memória: 47.6%, Disco I/O: 0
2024-06-19 00:56:46, CPU: 100.0%, Memória: 47.3%, Disco I/O: 0
2024-06-19 00:56:57, CPU: 5.3%, Memória: 48.1%, Disco I/O: 0
2024-06-19 00:57:09, CPU: 3.2%, Memória: 47.6%, Disco I/O: 0
2024-06-19 00:57:20, CPU: 6.4%, Memória: 53.1%, Disco I/O: 0
2024-06-19 00:57:31, CPU: 4.3%, Memória: 49.2%, Disco I/O: 0
2024-06-19 00:57:42, CPU: 3.2%, Memória: 47.7%, Disco I/O: 0
2024-06-19 00:57:53, CPU: 2.2%, Memória: 50.5%, Disco I/O: 0
2024-06-19 00:58:05, CPU: 4.3%, Memória: 48.1%, Disco I/O: 0
2024-06-19 00:58:16, CPU: 2.2%, Memória: 49.1%, Disco I/O: 0
2024-06-19 00:58:27, CPU: 6.4%, Memória: 55.0%, Disco I/O: 0
2024-06-19 00:58:38, CPU: 4.3%, Memória: 47.3%, Disco I/O: 0
2024-06-19 00:58:49, CPU: 3.2%, Memória: 48.4%, Disco I/O: 0
2024-06-19 00:59:01, CPU: 7.3%, Memória: 47.6%, Disco I/O: 0
2024-06-19 00:59:12, CPU: 4.3%, Memória: 48.1%, Disco I/O: 0
2024-06-19 00:59:23, CPU: 4.3%, Memória: 48.6%, Disco I/O: 0
2024-06-19 00:59:34, CPU: 4.3%, Memória: 50.8%, Disco I/O: 0
2024-06-19 00:59:45, CPU: 4.3%, Memória: 48.6%, Disco I/O: 0
2024-06-19 00:59:56, CPU: 2.2%, Memória: 47.9%, Disco I/O: 0
2024-06-19 01:00:08, CPU: 3.3%, Memória: 50.4%, Disco I/O: 0
2024-06-19 01:00:21, CPU: 100.0%, Memória: 48.7%, Disco I/O: 0
2024-06-19 01:00:34, CPU: 100.0%, Memória: 48.3%, Disco I/O: 0
2024-06-19 01:00:47, CPU: 100.0%, Memória: 48.5%, Disco I/O: 0
2024-06-19 01:01:00, CPU: 100.0%, Memória: 48.5%, Disco I/O: 0
2024-06-19 01:01:13, CPU: 100.0%, Memória: 48.5%, Disco I/O: 0
2024-06-19 01:01:26, CPU: 100.0%, Memória: 48.5%, Disco I/O: 0
2024-06-19 01:01:39, CPU: 100.0%, Memória: 48.3%, Disco I/O: 0
2024-06-19 01:01:52, CPU: 100.0%, Memória: 48.4%, Disco I/O: 0
2024-06-19 01:02:05, CPU: 100.0%, Memória: 48.3%, Disco I/O: 0
2024-06-19 01:02:17, CPU: 0.0%, Memória: 47.3%, Disco I/O: 0
2024-06-19 01:02:28, CPU: 0.0%, Memória: 46.2%, Disco I/O: 0
